#{"t_start": 1763544255.1246347, "env_id": "None"}
r,l,t
-519.54065,110,294.564491
-564.5303,1168,295.172687
-137.61707,523,295.674011
-3144.3635,1600,296.26691
95.63233,68,296.355335
-1644.8406,1600,296.646547
-476.80643,772,298.025364
69.395355,58,298.137616
-1492.0039,1600,298.831201
-246.82458,530,299.009593
113.66657,125,299.191025
178.28462,44,299.373227
-76.42544,515,300.092408
93.145424,122,300.166644
-2093.2231,1600,300.7474
-240.34291,621,301.573884
90.80511,170,301.590563
43.54696,204,301.803203
-2701.905,1600,301.898205
-1367.3154,1045,302.586016
171.74881,43,304.188014
-573.9664,1486,305.994433
-33.80341,362,306.20236
-696.63196,801,306.323507
-3098.9226,1322,306.410326
-114.34602,482,306.431973
-164.83995,499,307.980827
179.35815,36,308.299403
-1159.4038,1600,308.559626
167.19795,43,308.90952
-405.43347,665,309.082791
-1481.871,1600,309.167301
-313.87698,666,309.280672
190.16754,32,309.331197
-389.16443,27,309.502262
118.37309,47,309.557758
123.09827,60,309.814797
-251.68993,445,311.245588
180.81387,35,311.545419
129.04114,147,311.807878
-283.54846,543,311.892936
157.67438,39,312.147445
-1358.7588,1600,312.239169
113.04619,65,312.454614
-877.15314,1480,312.696775
-472.54694,687,313.424928
-2611.486,1600,313.588626
-33.4614,315,314.141552
170.27158,62,314.730295
-1350.5507,1600,315.20904
137.9277,60,315.336032
-1258.9011,1600,315.788407
98.96296,71,315.83768
-543.53375,992,316.078932
147.13223,38,316.38647
-673.1961,867,318.470234
-71.9225,391,318.811685
146.22646,79,318.827585
-65.00037,215,319.347381
-215.37662,631,319.402778
-61.58626,298,319.594067
200.78398,31,319.601568
182.05011,33,319.679123
47.154102,108,319.693659
-370.7377,24,319.87606
179.7114,48,320.102819
150.24326,76,320.248216
134.9042,42,320.458323
162.80415,36,320.769705
-971.31494,1336,320.793787
8.414464,273,321.1064
-794.8981,1600,321.163154
21.018261,325,321.171101
197.90846,45,321.534467
43.4758,170,321.661718
158.00685,37,321.840432
12.055988,271,322.157568
-612.9133,332,322.3899
-2222.9084,1321,322.886211
125.39503,107,323.064882
-846.5115,1021,323.158369
-706.28125,384,324.859078
82.3566,151,325.04736
181.62904,29,325.151668
54.01897,239,326.233152
-21.073175,254,326.483993
-85.12299,504,326.544646
64.64368,199,327.100749
-2007.2085,1600,327.135036
-80.13769,524,327.416549
-1534.4124,1600,327.52899
140.10127,44,327.548349
