#{"t_start": 1759747852.2866573, "env_id": "None"}
r,l,t
-107031.88,200,184.876214
-105835.5,200,185.017072
-107088.164,200,185.156815
-104548.04,200,185.298181
-106379.49,200,185.434449
-104786.24,200,185.574327
-105915.87,200,185.706438
-102806.62,200,185.831818
-110657.94,200,186.588344
-111522.04,200,186.710641
-106484.27,200,186.832003
-102855.29,200,186.958915
-107448.23,200,187.084709
-103822.016,200,187.211927
-109229.02,200,187.334586
-109734.35,200,187.459804
-105135.68,200,187.583204
-105125.17,200,187.707427
-108780.43,200,188.463467
-104891.72,200,188.591766
-109177.28,200,188.7205
-102962.77,200,188.847051
-108083.64,200,188.974915
-105207.195,200,189.102912
-103003.38,200,189.228398
-104109.72,200,189.353732
-107185.914,200,189.48015
-104845.445,200,189.608425
-105288.8,200,190.365722
-107176.25,200,190.493079
-106807.49,200,191.079229
-102670.805,200,191.207047
-105543.484,200,191.332216
-106186.445,200,191.459765
-109614.87,200,191.583066
-107200.03,200,191.707572
-107394.77,200,191.834312
-106118.13,200,191.96525
-105794.875,200,192.727724
-100606.24,200,192.855418
-107045.27,200,192.982026
-105938.58,200,193.11605
-106062.34,200,193.242561
-103976.586,200,193.367189
-103048.45,200,193.492234
-107428.61,200,193.644699
-99258.5,200,193.791086
-100544.94,200,193.94359
-105443.29,200,194.08898
-105598.586,200,194.861365
-107188.91,200,194.985921
-109435.66,200,195.10867
-111493.31,200,195.231911
-103498.55,200,195.356109
-108469.3,200,195.480547
-103735.86,200,195.604727
-101198.54,200,195.731613
-105761.24,200,195.857458
-104101.555,200,195.9828
-108472.3,200,196.711648
-101933.72,200,196.840994
-105537.4,200,196.970537
-104203.1,200,197.099413
-101001.12,200,197.225287
-103222.46,200,197.35155
-103960.2,200,197.480315
-105226.85,200,197.607434
-109900.14,200,197.733951
-106941.51,200,197.859453
-101829.86,200,198.608306
-105882.63,200,198.734371
-104761.56,200,198.858734
-103794.37,200,198.984793
-103477.6,200,199.109293
-101860.26,200,199.243751
-107094.195,200,199.368289
-103890.03,200,199.493315
-102846.28,200,199.621367
-104797.984,200,199.754941
-109338.79,200,200.504467
-105158.52,200,201.099625
-103620.734,200,201.22607
-104286.54,200,201.347715
-109792.89,200,201.470666
-101438.766,200,201.592381
-104955.54,200,201.717281
-104727.64,200,201.840898
-100209.98,200,201.982428
-102484.93,200,202.108872
-108622.305,200,202.238789
-106156.06,200,203.322133
-105337.336,200,203.54487
-105214.69,200,203.683799
-107807.16,200,203.817152
-100107.73,200,203.951204
-106787.11,200,204.084596
-107188.88,200,204.217771
-102965.0,200,204.35095
-104485.1,200,204.484852
-102482.38,200,204.618527
-103502.68,200,205.457898
-103457.4,200,205.59253
-105398.195,200,205.719881
-106721.664,200,205.843575
-104420.164,200,205.991073
-103253.21,200,206.144178
-101455.945,200,206.288472
-105338.73,200,206.436615
-102426.67,200,206.576623
-103529.92,200,206.713789
-100293.08,200,207.574524
-104503.516,200,207.708688
-104909.98,200,207.842372
-106551.89,200,207.977093
-106616.08,200,208.114028
-106479.234,200,208.248198
-99435.81,200,208.37837
-104025.914,200,208.501369
-102186.414,200,208.624644
-107217.51,200,208.747404
-103202.6,200,209.424088
-102171.43,200,209.550145
-100900.71,200,209.674927
-105475.98,200,209.799355
-100518.516,200,209.92521
-101784.36,200,210.050809
-98434.87,200,210.182952
-102462.67,200,210.30509
-104681.28,200,210.439371
-99275.05,200,210.567095
-107723.45,200,211.169075
-103290.84,200,212.00505
-103483.84,200,212.190149
-104050.23,200,212.350099
-106002.31,200,212.507828
-102646.586,200,212.656242
-99126.43,200,212.791651
-108743.77,200,212.930843
-101271.01,200,213.065314
-100763.43,200,213.201178
-95990.164,200,213.353357
-102657.016,200,214.2907
-104980.695,200,214.430663
-104762.555,200,214.59451
-104545.89,200,214.748569
-104314.336,200,214.903899
-102665.74,200,215.090289
-102583.49,200,215.326145
-104376.57,200,215.508944
-101028.2,200,215.676076
-103940.07,200,215.813938
-103218.305,200,216.876749
-102759.55,200,217.027818
-98689.99,200,217.180379
-102253.13,200,217.341559
-102996.445,200,217.479858
-102612.53,200,217.676036
-97254.62,200,217.811342
-102462.555,200,217.946909
-107464.67,200,218.107807
-97990.234,200,218.257914
-102228.24,200,219.303142
-102606.37,200,219.462219
-100340.21,200,219.623541
-100853.89,200,219.780583
-96812.266,200,219.969644
-101892.08,200,220.114893
-100876.22,200,220.29074
-102954.38,200,220.472779
-97458.69,200,220.638014
-98370.75,200,220.83269
-101353.08,200,221.020017
-101150.68,200,222.148864
-98267.42,200,222.377509
-100440.125,200,222.543811
-101385.61,200,222.705698
-108887.2,200,222.842295
-97808.66,200,222.996398
-98847.75,200,223.198377
-105169.18,200,223.36621
-98044.24,200,224.040301
-100078.99,200,224.179983
-101596.42,200,225.060333
-102546.33,200,225.199035
-103072.836,200,225.35186
-103573.22,200,225.489289
-102289.57,200,225.710226
-102427.82,200,225.929587
-104942.984,200,226.126967
-102375.36,200,226.296563
-105144.16,200,226.429083
-101224.32,200,226.563982
-94915.01,200,227.480477
-99879.92,200,227.616052
-99941.805,200,227.753438
-101714.82,200,227.893958
-102954.0,200,228.039591
-101396.76,200,228.182342
-92194.52,200,228.322427
-98437.5,200,228.46336
-105452.96,200,228.604182
-104404.61,200,228.751077
-100219.1,200,229.613997
-100119.45,200,229.747276
-102853.57,200,229.882019
-103758.336,200,230.022133
-102262.5,200,230.159721
-104005.67,200,230.294497
-101714.33,200,230.437612
-101138.0,200,230.663628
-96606.05,200,230.845271
-101144.586,200,231.042736
-99573.77,200,231.276933
-102404.55,200,232.312874
-104672.55,200,232.488647
-100648.61,200,232.622556
-99506.445,200,232.770381
-100176.234,200,232.952926
-97094.98,200,233.099729
-101352.51,200,233.268075
-101261.914,200,233.401151
-102761.08,200,233.535588
-101731.57,200,233.670859
-99721.71,200,234.816177
-99848.98,200,234.963203
-98931.79,200,235.101248
-95640.78,200,235.237406
-102269.7,200,235.417694
-99696.516,200,235.585032
-102228.836,200,235.719216
-100170.984,200,236.435141
-98779.93,200,236.663676
-100800.93,200,236.825804
